SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,MnO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,Total_Liq,P_kbar
61.8326045,1.220380352,13.42418387,10.27153463,2.054306926,0.2847554154,4.891691244,3.559442693,2.461100376,100,8
61.33979015,0.8979015335,13.51896691,10.2905569,2.158999193,0.4136400323,5.004035513,4.015334948,2.360774818,100,8
50.88902514,3.126916002,12.77334968,17.47394237,3.157572042,0.3883098304,7.122419783,3.178009401,1.890455753,100,8
60.2006689,1.459410155,12.97253471,11.75635958,1.854667072,0.3445829533,5.513327252,3.607986217,2.29046316,100,8
61.04797345,1.106305944,15.38770995,8.75993161,1.156592578,0.3117771296,6.004224077,4.113446646,2.11203862,100,8
62.88218508,1.477782307,12.73950265,10.39543416,1.110884631,0.3057480636,4.311047697,3.791275989,2.986139421,100,8
62.87754895,0.4626589096,17.58103856,3.844056629,1.597274807,0.05507844161,2.974235847,6.223863902,4.384243953,100,1.2
54.10173118,1.631262262,16.28021343,7.32053679,4.818165356,0.09722755203,7.324475586,5.077438828,3.348949014,100,2.3
57.09012855,1.031815436,17.5737927,6.148702343,3.183260388,0.1426978795,5.268844781,6.048194738,3.512563187,100,2.2
61.57239407,0.4127272843,18.30119669,4.779471014,1.694354114,0.09775119891,2.443779973,6.038851844,4.659473815,100,0.9
60.06164282,0.8421849099,18.51740745,4.289416183,2.078810854,0.1066056848,3.667235557,6.087184602,4.34951194,100,1
63.33311713,0.5753751969,19.06061107,2.259446092,0.962445784,0.05230683609,2.123657545,6.925425098,4.707615248,100,0.5
47.80836895,0.5665440811,18.58662161,8.090647053,10.43633834,0.2087267667,11.82785011,2.395388132,0.07951495875,100,11
49.57281939,0.6457381284,17.28591297,7.848201868,10.72918736,0.09934432744,11.42459766,2.284919531,0.1092787602,100,11
47.94184105,0.5698005698,18.86236369,8.340701444,9.922389233,0.1964829551,11.3960114,2.691816485,0.07859318204,100,12
47.99842628,0.5704730992,18.98298416,8.488246287,9.668535458,0.1672076325,11.31110455,2.724500836,0.08852168781,100,12
48.19639279,0.6312625251,18.63727455,8.70741483,9.478957916,0.1603206413,11.42284569,2.665330661,0.1002004008,100,12
48.46429996,0.65815716,19.64499402,9.184284005,8.216992421,0.1296370164,10.67012365,2.921818907,0.10969286,100,15
48.31303653,0.6588141346,19.26532242,8.913954881,8.764224396,0.1796765822,10.88041525,2.924735476,0.09982032342,100,15
48.2,0.7,18.6,9.64,8.94,0.21,10.5,3.09,0.12,100,12
48.4131797,0.6872852234,19.001415,8.591065292,9.025672125,0.1212856277,11.21892056,2.829997979,0.111178492,100,12
48.14665592,0.6043513296,18.02981467,8.531426269,10.07252216,0.1712328767,11.88557615,2.467767929,0.09065269944,100,12
47.84400442,0.8041009147,18.39380842,9.478339532,9.357724394,0.1407176601,11.15690019,2.713840587,0.1105638758,100,11
48.30287206,0.8937537658,17.47338823,10.74512954,8.365133561,0.1908013657,10.74512954,3.133159269,0.1506326572,100,10
47.9197995,0.6315789474,18.74686717,9.09273183,9.253132832,0.1604010025,11.3283208,2.766917293,0.1002506266,100,12
48.49699399,0.7214428858,18.83767535,9.428857715,8.647294589,0.1402805611,10.52104208,3.076152305,0.130260521,100,12
48.37255884,1.031547321,16.72508763,11.41712569,8.092138207,0.2203304957,10.61592389,3.355032549,0.1702553831,100,10
48.81936834,0.8767560028,17.33585733,10.95945003,8.309255754,0.09963136395,10.56092458,2.879346418,0.1594101823,100,10
47.52774975,0.8072653885,18.56710394,10.79717457,8.607467205,0.1715438951,9.989909183,3.390514632,0.141271443,100,12
48.88663968,0.7085020243,18.92712551,8.876518219,8.836032389,0.1113360324,10.42510121,3.097165992,0.1315789474,100,12
47.69636696,1.258372235,16.54150599,12.88816724,7.570529734,0.2334077532,10.14816318,3.470671808,0.1928151005,100,10
48.29517048,0.7599240076,18.79812019,9.9590041,8.439156084,0.1799820018,10.1989801,3.249675032,0.1199880012,100,12
48.00972349,0.8102906918,18.02896789,10.11850501,9.439886559,0.1620581384,8.72075357,4.497113339,0.2127013066,100,15
48.73591228,0.6498121637,18.17443395,9.209056757,9.635495989,0.1624530409,10.25484821,3.035841202,0.1421464108,100,15
48.94615922,0.7291978823,19.67835381,9.789231845,7.232044751,0.1298571571,9.609429627,3.715912496,0.1698132055,100,15
48.76346231,0.8077383327,17.45113682,10.76984444,8.49621061,0.10969286,10.47068209,2.981651376,0.1495811727,100,10
48.16859007,0.9031610637,18.26392373,11.33968891,7.937782238,0.1806322127,9.162067235,3.863522328,0.1806322127,100,12
47.91916767,1.530612245,18.1072429,13.80552221,5.31212485,0.1600640256,7.042817127,5.652260904,0.4701880752,100,15
64.25822851,0.1179640377,18.87424602,2.336500825,0.08579202739,0.05362001712,0.2681000856,8.664994766,5.340553705,100,2
63.39670533,0.1495205314,18.51918582,3.591297333,0.1068003796,0.01068003796,0.2242807972,8.682870862,5.318658904,100,2
48.93362567,0.5182379908,16.44409009,9.118995416,10.66374327,0.1395256129,12.25832171,1.873629659,0.04983057604,100,10
48.43479148,0.5608239013,17.23258897,9.095543999,10.40073417,0.1223615785,12.03222188,2.049556439,0.07137758744,100,15
48.76580373,0.5819787277,17.66004415,9.291591411,9.612683123,0.1505117399,11.73991571,2.137266707,0.06020469597,100,12
