SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeOt_Cpx,MgO_Cpx,MnO_Cpx,CaO_Cpx,Na2O_Cpx,Cr2O3_Cpx,Total_Cpx,P_kbar
51.76,0.68,4.25,8.46,15.23,0.34,19.12,0.44,0.008920401233,100.2889204,2
54,0.13,0.7,4.1,19.6,0.12,20.2,0.004949025746,0.59,99.44494903,2
54.2,0.09,0.52,4.2,19.5,0.11,20.8,0.006668091271,0.58,100.0066681,2
53.9,0.14,0.73,4.8,19,0.12,20.1,0.0006033815996,0.58,99.37060338,2
53.8,0.11,0.96,5.1,21.3,0.15,17.2,0.006166148912,0.84,99.46616615,0
53.7,0.23,1.2,5.7,19.5,0.14,19,0.11,0.56,100.14,1
52.2,0.34,3.1,6.3,16.1,0.15,21.1,0.07,0.42,99.78,2
52.5,0.34,2.5,6.6,17.6,0.18,20,0.005457848504,0.41,100.1354578,2
57.2,0.05,0.43,6.9,31.4,0.16,4.2,0.006010910757,0.41,100.7560109,0
55.8,0.07,0.5,7.8,29.2,0.18,5.6,0.02,0.48,99.65,0
55.8,0.09,0.7,8.2,29.1,0.2,5.7,0.02,0.51,100.32,0
55.8,0.13,0.9,9,27.9,0.21,6.3,0.04,0.61,100.89,0
51.52,0.18,5.68,4.36,17.36,0.07,19.62,0.35,0.37,99.51,15
54.81,0.04,0.74,4.51,20.5,0.12,18.3,0.18,0.91,100.11,15
50.78,0.13,9.83,5.88,20.9,0.11,11.68,0.52,0.5,100.33,20
50.99,0.21,8.9,5.89,20.51,0.11,12.46,0.6,0.24,99.91,20
55.58,0.07,1.35,6.84,25.49,0.18,9.89,0.17,0.59,100.16,15
51.38,0.59,4.41,8.72,14.92,0.41,18.89,0.38,0.004428385397,99.70442839,7
52.22,0.9,10.72,3.89,11.38,0.19,18.04,3,0.008668237612,100.3486682,21
52.15,1.16,18.42,3.96,4.91,0.13,12.97,5.91,0.006527545176,99.61652755,27
51.61,1.11,17.06,4.71,6.43,0.15,13.51,5.22,0.007722744365,99.80772274,27
55.7,0.37,17.68,4.89,4.07,0.13,8.85,7.76,0.007754612009,99.45775461,30
53.98,0.71,9.99,5.92,11.21,0.11,15.01,3.68,0.008615893931,100.6186159,21
54.72,0.71,14.56,5.98,6.21,0.12,10.46,6.44,0.007281797,99.2072818,30
52.87,0.7,9.45,6.06,11.53,0.18,15.65,3.43,0.000601739916,99.87060174,21
52.1,0.35,2.33,6.6,15.9,0.51,20.8,0.51,0.006957959405,99.10695796,3
51.5,0.41,2.7,7.9,15.2,0.82,20.1,0.42,0.008328407702,99.05832841,3
51.7,0.67,6.72,8.1,13.1,0.09,17.8,1.52,0.003440033646,99.70344003,15
52.3,0.43,3.15,9.1,14.5,0.65,19,0.42,0.00844442799,99.55844443,3
51.3,0.65,6.55,9.7,12,0.28,18.6,1.37,0.002171497305,100.4521715,15
51.7,0.5,4.76,9.9,13.5,0.27,17.8,1.26,0.00690492341,99.69690492,15
50.3,0.86,6.75,10.1,12.4,0.29,17,1.44,0.001331798618,99.1413318,15
50.1,0.53,3.85,10.2,14,0.58,19.4,0.39,0.004230656108,99.05423066,5
50.2,0.87,6.01,10.7,11.5,0.41,18.9,0.99,0.006500865073,99.58650087,12.5
51.3,0.83,5.74,11.2,12.8,0.6,17.5,0.64,0.003841072607,100.6138411,10
48.9,0.63,3.3,11.2,14.4,0.46,17.5,0.54,0.009440579049,96.93944058,5
50.9,0.82,4.29,11.9,13.4,0.4,16.9,0.43,0.008522453817,99.04852245,10
